Name	Banner Link	icon link	link	Is On SteamRevolver?	Is it Buzzheather or google drive or both	Is It Working?	Straight download link	new?
Red dead redemption	https://file.garden/Zya8-gItADlYXzdp/download%20(59).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/c82b5d452621302114ac215d91fcf846.png	https://sites.google.com/view/steamrevolver/steamrevolvers/red-dead-redemption	Yes	google drive	Yes		No
clone Hero	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(60).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/97qzu0ak4uw61.png	https://sites.google.com/view/steamrevolver/steamrevolvers/clone-hero	Yes	google drive	Yes		No
Sonic Mania	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/sonik.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/d840cc5d906c3e9c84374c8919d2074e.png	https://sites.google.com/view/steamrevolver/steamrevolvers/sonic-mania	Yes	google drive	Yes		No
Slime Rancher	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/aff6cd66323919.5bb6502a937e6.webp	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/slimy.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/slime-rancher	Yes	google drive	Yes		No
Slime Rancher 2	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(62).jpeg	https://file.garden/Zya8-gItADlYXzdp/sr2.png	https://sites.google.com/view/steamrevolver/steamrevolvers/slime-rancher-2	Yes	google drive	Yes		No
LEGO Star Wars III	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(63).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/368851f0daad52f957f7d12038c84bd6.png	https://sites.google.com/view/steamrevolver/steamrevolvers/lego-star-wars-iii-the-clone-war	Yes	google drive	Yes		No
Lobotomy corporation	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(64).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/44c74289986156fe463934320cf9444e.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/lobotomy-academy	Yes	google drive	Yes		No
Deadrising	https://file.garden/Zya8-gItADlYXzdp/download%20(65).jpeg	https://file.garden/Zya8-gItADlYXzdp/0113c64ca9d9475255c5d0d83e6d2367.png	https://sites.google.com/view/steamrevolver/steamrevolvers/deadrising	Yes	google drive	Yes		No
Hytale	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(66).jpeg	https://file.garden/Zya8-gItADlYXzdp/htyale.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/hytale	Yes	google drive	Yes		No
silent hill 2	https://file.garden/Zya8-gItADlYXzdp/download%20(67).jpeg	https://file.garden/Zya8-gItADlYXzdp/d2e2e4e5476e75f771d6445eef50b134.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/silent-hill-2	Yes	google drive	Yes		No
teardown	https://file.garden/Zya8-gItADlYXzdp/download%20(68).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/22722a343513ed45f14905eb07621686.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/teardown	Yes	google drive	Yes		No
Tom Clancy's Splinter Cell Conviction	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(69).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/6e0e24295e8a86282cb559b860416812.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/tom-clancys-splinter-cell-conviction	Yes	google drive	Yes		No
Mario 64 multiplayer	https://file.garden/Zya8-gItADlYXzdp/download%20(70).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/2326eb84b13c47afd79b98dda65b4fd9.png	https://sites.google.com/view/steamrevolver/steamrevolvers/mario-64-multiplayer	Yes	google drive	Yes		No
left 4 dead 2	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/gd2/53c16d65d012198a587f8745bad50014.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/70143f3a7d458ba0d514f045e3a3313b.png	https://sites.google.com/view/steamrevolver/steamrevolvers/left-4-dead	Yes	google drive	Yes		Yes
Halo Infinite	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(72).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/c6b674f5588228036011778df458d756.png	https://sites.google.com/view/steamrevolver/steamrevolvers/halo-infinite	Yes	google drive	Yes		Yes
Silent hill 3	https://file.garden/Zya8-gItADlYXzdp/download%20(73).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/256x256.png	https://sites.google.com/view/steamrevolver/steamrevolvers/silent-hill-3	Yes	google drive	Yes		Yes
schedule 1	https://file.garden/Zya8-gItADlYXzdp/scedual%20one.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/schedule_png_icon_by_arielarroyos_djg7qz8-fullview.png	https://sites.google.com/view/steamrevolver/steamrevolvers/schedule-1	Yes	google drive	Yes		Yes
until dawn	https://file.garden/Zya8-gItADlYXzdp/until%20dawn.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/until-dawn_en4s.600.webp	https://drive.google.com/file/d/1BMc2jKOmKy4CKjKSEcK_8lJUdIZuinOY/view?usp=sharing	Yes	google drive	Testing		Yes
Deltarune	https://file.garden/Zya8-gItADlYXzdp/download%20(74).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/7dd11ae2d5ed34925bdbdc9b01866349.ico	https://drive.google.com/file/d/1gKayu-cWKcbj8o2ndcVvMz5u7kmUQPND/view?usp=sharing	Yes	google drive	Testing		Yes
Brotato	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(75).jpeg	https://file.garden/Zya8-gItADlYXzdp/1_Xz0oRRFK769LF7FrN7nX0g.jpg	https://drive.google.com/file/d/1ZSu2S12HyYqM-B474dUFU55BqwVRlPcA/view	Yes	google drive	Testing		Yes
Phasmophobia	https://file.garden/Zya8-gItADlYXzdp/download%20(76).jpeg	https://file.garden/Zya8-gItADlYXzdp/1024x1024bb.png	https://drive.google.com/file/d/1j3S9ykOmJ7vnhmSt7lS0jd4G389ESAjE/view	Yes	google drive	Testing		Yes
Starwars Republic Comando	https://file.garden/Zya8-gItADlYXzdp/download%20(77).jpeg	https://file.garden/Zya8-gItADlYXzdp/star.jpg	https://drive.google.com/file/d/1Se8qiLlIScsrBRvsRrz1uLEf6kdFiCrD/view	Yes	google drive	Testing		Yes
Mimesis	https://file.garden/Zya8-gItADlYXzdp/memsis.jpg	https://file.garden/Zya8-gItADlYXzdp/ce0fd329bf46fe88b8c617d833473c48edcb1823.ico	https://drive.google.com/file/d/1H6H2QsgkkpKZeO1iew2ka2dCb64VwUtg/view?usp=sharing	Yes	google drive	Testing		Yes
Undertale	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/b8e4ffcba1f8184a704c00fe3ba67999.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/sans-undertale-icon-29.png	https://drive.google.com/file/d/1uq6E8ZNIDZoF4LcwKO_ig0rV5sMCdsB5/view?usp=sharing	Yes	google drive	Testing		Yes
