Name	Banner Link	icon link	link	Is On SteamRevolver?	Is it Buzzheather or google drive or both	Is It Working?	Straight download link	new?
12 Is Better Than 6	https://file.garden/Zya8-gItADlYXzdp/download%20(22).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/0a7d47fa-bf06-4db5-a987-5292fe8cda43.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/12-is-better-than-6	Yes	google drive	Yes		No
60 Seconds	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/ss_126c785fa276a762d85f38e9591c3bdbc445a4d8.jpg	https://file.garden/Zya8-gItADlYXzdp/35e2dcdbea1950a7a290dd0c282da0a0.png	https://sites.google.com/view/steamrevolver/steamrevolvers/60-seconds	Yes	google drive	Yes		No
Balatro	https://file.garden/Zya8-gItADlYXzdp/Balatro_cover.jpg	https://file.garden/Zya8-gItADlYXzdp/d.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/bullatro	Yes	google drive	Yes		No
Call of Duty: Black Ops	https://file.garden/Zya8-gItADlYXzdp/download%20(24).jpeg	https://file.garden/Zya8-gItADlYXzdp/she.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/call-of-duty-black-opps	Yes	google drive	Yes		No
Clover Pit	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(25).jpeg	https://file.garden/Zya8-gItADlYXzdp/CloverPit_cover.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/clover-pit	Yes	google drive	Yes		No
Content Warning	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/banner600.jpg	https://file.garden/Zya8-gItADlYXzdp/contwar.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/content-warning	Yes	google drive	Yes		No
Cuphead	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download.png	https://file.garden/Zya8-gItADlYXzdp/512x512.png	https://sites.google.com/view/steamrevolver/steamrevolvers/cup-head	Yes	google drive	Yes		No
Dark Souls 2	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(26).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/8acb1ff404934847c541dd7ca4e9e963.png	https://sites.google.com/view/steamrevolver/steamrevolvers/dark-souls-2	Yes	google drive	Yes		No
Dispatch	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/Jf1Myqg2.jpg	https://file.garden/Zya8-gItADlYXzdp/02f9415af9bb0e1f2da0d11ebf525ab0.png	https://sites.google.com/view/steamrevolver/steamrevolvers/dispatcg	Yes	google drive	Yes		No
Doom	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(27).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/b2abecb16fd0b3ab8d15e01a42129ccbe819b887.png	https://sites.google.com/view/steamrevolver/steamrevolvers/myron-3d/doom	Yes	google drive	Yes		No
FNaF (Five Nights at Freddy's)	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(28).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/6aab1270668d8cac7cef2566a1c5f569.png	https://sites.google.com/view/steamrevolver/steamrevolvers/fnaf	Yes	google drive	Yes		No
FNaF 2	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(29).jpeg	https://file.garden/Zya8-gItADlYXzdp/256x256.png	https://sites.google.com/view/steamrevolver/steamrevolvers/fnaf-2	Yes	google drive	Yes		No
FNaF 3	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/springtrap.webp	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/54a367d629152b720749e187b3eaa11b.png	https://sites.google.com/view/steamrevolver/steamrevolvers/fnaf-3	Yes	google drive	Yes		No
FNaF Security Breach	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(31).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/FGwxrhzWUAEPW5Q.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/fnaf-security-breach	Yes	google drive	Yes		No
Geometry Dash	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(32).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/630be2daec290610d9ec3c7ba9bbacc786996953.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/geometry-dash	Yes	google drive	Yes		No
Getting Over It	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/Getting_Over_It_with_Bennett_Foddy.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/unnamed.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/getting-over-it	Yes	google drive	Yes		No
Ghost of Tsushima	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(33).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/62ff479880ad9a16a568691f85f90ba4.ico	https://drive.google.com/file/d/1L47ZxvZuEKcElhRFcqlqvBivihHAfVmu/view?usp=sharing	Yes	google drive	Yes		No
Gmod (Garry's Mod)	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/gmod.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/05a0c4a3f3a22424cf61ae7edb982888.png	https://sites.google.com/view/steamrevolver/steamrevolvers/gmod	Yes	google drive	Yes		No
Goat Simulator	https://file.garden/Zya8-gItADlYXzdp/goat.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/c393f0ff11ece8e0437e70b8bf8fc75176e4575d55f4c0a99bcf6870df772c42_200.webp	https://sites.google.com/view/steamrevolver/steamrevolvers/goat-simulator	Yes	google drive	Yes		No
God of War	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/godofwar.png	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/godofwar.png	https://sites.google.com/view/steamrevolver/steamrevolvers/god-of-war	Yes	google drive	Yes		No
Enter the gungeon	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(34).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images.png	https://sites.google.com/view/steamrevolver/steamrevolvers/gun	Yes	google drive	Yes		No
Henry Stickman	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(35).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/henry.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/stickmen	Yes	google drive	Yes		No
Hollow Knight	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(36).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/602d1305678a8d5fdb372271e980da6a.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/hollow-knighty	Yes	google drive	Yes		No
I Am Bread	https://file.garden/Zya8-gItADlYXzdp/Iambred.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/1024x1024.png	https://sites.google.com/view/steamrevolver/steamrevolvers/i-am-bread	Yes	google drive	Yes		No
Lethal Company	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(37).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/11659e33d85b46e21d8feb1eed9c9060.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/lethal-company	Yes	google drive	Yes		No
MegaBonk	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(38).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/62215a51b21699de8f76d6e232c93acf84d4e5cb.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/megabonk	Yes	google drive	Yes		No
Minecraft	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(39).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/i-improved-the-minecraft-launcher-icon-v0-jrrexgfwbyob1.webp	https://sites.google.com/view/steamrevolver/steamrevolvers/minecraft	Yes	google drive	Yes		No
Momo Crash	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(40).jpeg	https://file.garden/Zya8-gItADlYXzdp/logo.png	https://sites.google.com/view/steamrevolver/steamrevolvers/momo-crash	Yes	google drive	Yes		No
Mortal Kombat X	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(42).jpeg	https://file.garden/Zya8-gItADlYXzdp/icon/1e62bf5e02913213bfa531197d464ec9e789928a.ico	https://sites.google.com/view/steamrevolver/steamrevolvers/mortal-combat-x	Yes	google drive	Yes		No
